i,Time,Data
697,13.94,61.0
698,13.96,59.0
699,13.98,65464.0
700,14.0,65472.0
701,14.02,64.0
702,14.04,60.0
703,14.06,65448.0
704,14.08,65476.0
705,14.1,65460.0
706,14.12,64.0
707,14.14,60.0
708,14.16,59.0
709,14.18,60.0
710,14.2,61.0
711,14.22,60.0
712,14.24,59.0
713,14.26,65456.0
714,14.28,65472.0
715,14.3,65464.0
716,14.32,64.0
717,14.34,61.0
718,14.36,65472.0
719,14.38,65488.0
720,14.4,65472.0
721,14.42,66.0
722,14.44,60.0
723,14.46,65472.0
724,14.48,65484.0
725,14.5,65472.0
726,14.52,66.0
727,14.54,61.0
728,14.56,65476.0
729,14.58,65492.0
730,14.6,65472.0
731,14.62,66.0
732,14.64,59.0
733,14.66,61.0
734,14.68,65476.0
735,14.7,65472.0
736,14.72,65.0
737,14.74,61.0
738,14.76,60.0
739,14.78,65476.0
740,14.8,65464.0
741,14.82,63.0
742,14.84,60.0
743,14.86,65456.0
744,14.88,65472.0
745,14.9,65472.0
746,14.92,68.0
747,14.94,60.0
748,14.96,65472.0
749,14.98,65484.0
750,15.0,65476.0
751,15.02,67.0
752,15.04,60.0
753,15.06,65472.0
754,15.08,65480.0
755,15.1,65472.0
756,15.12,65.0
757,15.14,60.0
758,15.16,65460.0
759,15.18,65480.0
760,15.2,65472.0
761,15.22,66.0
762,15.24,61.0
763,15.26,65472.0
764,15.28,65480.0
765,15.3,65480.0
766,15.32,66.0
767,15.34,61.0
768,15.36,65472.0
769,15.38,65484.0
770,15.4,65480.0
771,15.42,67.0
772,15.44,60.0
773,15.46,65472.0
774,15.48,65484.0
775,15.5,65476.0
776,15.52,64.0
777,15.54,62.0
778,15.56,60.0
779,15.58,63.0
780,15.6,61.0
781,15.62,59.0
782,15.64,61.0
783,15.66,60.0
784,15.68,65488.0
785,15.7,65472.0
786,15.72,63.0
787,15.74,61.0
788,15.76,61.0
789,15.78,65488.0
790,15.8,65464.0
791,15.82,62.0
792,15.84,62.0
793,15.86,59.0
794,15.88,65476.0
795,15.9,65480.0
796,15.92,65480.0
797,15.94,65472.0
798,15.96,65472.0
799,15.98,65472.0
800,16.0,65484.0
801,16.02,65480.0
802,16.04,59.0
803,16.06,65464.0
804,16.08,65480.0
805,16.1,65480.0
806,16.12,65.0
807,16.14,62.0
808,16.16,61.0
809,16.18,65472.0
810,16.2,66.0
811,16.22,63.0
812,16.24,61.0
813,16.26,60.0
814,16.28,65472.0
815,16.3,65480.0
816,16.32,65.0
817,16.34,61.0
818,16.36,65460.0
819,16.38,65472.0
820,16.4,65472.0
821,16.42,65.0
822,16.44,61.0
823,16.46,65472.0
824,16.48,65472.0
825,16.5,65480.0
826,16.52,65472.0
827,16.54,65472.0
828,16.56,65488.0
829,16.58,65488.0
830,16.6,65480.0
